Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
22309892,Rome Was Not Built in a Day - The Story of the Roman People vol. I,Nanami Shiono,"Shiono, Nanami","Ronald Dore, Steven Wills","=""""","=""""",0,"SHINCHOSHA Publishing Co., Ltd.",Kindle Edition,308,2014,1992,,2024/09/10,to-read,to-read (#23),to-read,,,,0,0
8171378,The Warmth of Other Suns: The Epic Story of America's Great Migration,Isabel Wilkerson,"Wilkerson, Isabel",,"=""0679444327""","=""9780679444329""",0,Random House,Hardcover,640,2010,2010,,2024/07/12,to-read,to-read (#22),to-read,,,,0,0
6101138,"Wolf Hall (Thomas Cromwell, #1)",Hilary Mantel,"Mantel, Hilary",,"=""""","=""""",0,HarperCollins Publishers Ltd,Paperback,653,2010,2009,,2024/07/12,to-read,to-read (#21),to-read,,,,0,0
28007895,The Return,Hisham Matar,"Matar, Hisham",,"=""034580774X""","=""9780345807748""",0,Knopf Canada,Hardcover,256,2016,2016,,2024/07/11,to-read,to-read (#20),to-read,,,,0,0
23168277,"The Sympathizer (The Sympathizer, #1)",Viet Thanh Nguyen,"Nguyen, Viet Thanh",,"=""0802123457""","=""9780802123459""",0,Grove Press,Hardcover,384,2015,2015,,2024/07/11,to-read,to-read (#19),to-read,,,,0,0
24817626,Go Set a Watchman,Harper Lee,"Lee, Harper",,"=""0062409859""","=""9780062409850""",5,HarperCollins,Hardcover,278,2015,2015,,2024/05/22,,,read,,,,1,0
56100529,The Missing Billionaires: A Guide to Better Financial Decisions,Victor Haghani,"Haghani, Victor",James White,"=""1119747910""","=""9781119747918""",0,Wiley,Hardcover,416,2023,,,2024/05/17,"to-read, nonfic","to-read (#18), nonfic (#5)",to-read,,,,0,0
8593761,"King of Capital: The Remarkable Rise, Fall, and Rise Again of Steve Schwarzman and Blackstone",David Carey,"Carey, David",John E. Morris,"=""0307452999""","=""9780307452993""",0,Crown Business,Hardcover,400,2010,2010,,2024/04/29,"to-read, nonfic","to-read (#17), nonfic (#3)",to-read,,,,0,0
62874267,Plunder: Private Equity's Plan to Pillage America,Brendan Ballou,"Ballou, Brendan",,"=""1541702107""","=""9781541702103""",0,PublicAffairs,Hardcover,368,2023,2023,,2024/04/29,"to-read, nonfic","to-read (#16), nonfic (#2)",to-read,,,,0,0
11062898,Dog Soldiers,Robert  Stone,"Stone, Robert",,"=""0547524161""","=""9780547524160""",3,Mariner Books,Kindle Edition,355,1997,1974,2022/03/19,2019/10/09,,,read,,,,1,0
77920694,"The Fund: Ray Dalio, Bridgewater Associates, and the Unraveling of a Wall Street Legend",Rob Copeland,"Copeland, Rob",,"=""1250276934""","=""9781250276933""",0,St. Martin's Press,Hardcover,352,2023,2023,,2024/04/11,"to-read, nonfic","to-read (#15), nonfic (#1)",to-read,,,,0,0
40780934,"Let's Go (So We Can Get Back): A Memoir of Recording and Discording with Wilco, Etc.",Jeff Tweedy,"Tweedy, Jeff",,"=""1101985283""","=""9781101985281""",0,Dutton,Kindle Edition,303,2018,2018,,2024/04/11,to-read,to-read (#14),to-read,,,,0,0
210834,Kim,Rudyard Kipling,"Kipling, Rudyard",,"=""0140183523""","=""9780140183528""",0,Penguin Classics,Paperback,366,1981,1901,,2024/03/28,to-read,to-read (#13),to-read,,,,0,0
59251239,Odder,Katherine Applegate,"Applegate, Katherine",Charles Santoso,"=""1250147425""","=""9781250147424""",5,Feiwel & Friends,Hardcover,274,2022,2022,,2024/03/26,,,read,,,,1,0
60539545,The Skull,Jon Klassen,"Klassen, Jon",,"=""""","=""""",5,,Unknown Binding,105,2023,2023,,2024/02/12,kidz,kidz (#8),read,,,,1,0
101438,Skunk Works: A Personal Memoir of My Years at Lockheed,Ben R. Rich,"Rich, Ben R.",Leo Janos,"=""""","=""""",4,"Back Bay Books/Little, Brown & Co. (NY)",Paperback,382,1996,1994,,2023/10/28,,,read,,,,1,0
